condition,sample_id,fold,repeat,k,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
B0,KYOw02752,1,3,12,117193,10,0.4568020274248462,False,"[8440, 16, 11765, 34489, 0, 0, 4787, 2680, 314, 3, 1165, 53534]"
B0,KYOw02752,1,3,14,117193,11,0.28932615429249187,False,"[1940, 0, 33907, 24881, 13, 0, 295, 1780, 25266, 5161, 7239, 1088, 15623, 0]"
B0,KYOw02766,1,3,2,46176,2,0.7063626126126126,False,"[13559, 32617]"
B0,KYOw02766,1,3,4,46176,4,0.4184208246708247,False,"[13806, 9741, 3308, 19321]"
B0,KYOw02766,1,3,6,46176,6,0.284043659043659,False,"[5757, 310, 3762, 11869, 13116, 11362]"
B0,KYOw02766,1,3,8,46176,8,0.25747141372141374,False,"[11889, 48, 1230, 8933, 302, 10324, 8979, 4471]"
B0,KYOw02766,1,3,10,46176,9,0.30132536382536385,False,"[8643, 5190, 75, 13914, 0, 5172, 825, 3440, 7595, 1322]"
B0,KYOw02766,1,3,12,46176,11,0.26730336105336105,False,"[2482, 78, 4070, 4905, 1100, 3206, 6342, 5898, 773, 0, 4979, 12343]"
B0,KYOw02766,1,3,14,46176,13,0.23605336105336105,False,"[6251, 0, 2805, 3636, 69, 1060, 719, 3579, 10900, 1714, 2268, 4432, 5870, 2873]"
B0,KYOw02769,1,3,2,161734,2,0.9762511283960082,False,"[3841, 157893]"
B0,KYOw02769,1,3,4,161734,4,0.5487590735405048,False,"[4854, 66997, 1130, 88753]"
B0,KYOw02769,1,3,6,161734,6,0.6559783347966414,False,"[32170, 275, 970, 3594, 18631, 106094]"
B0,KYOw02769,1,3,8,161734,8,0.5838228201862317,False,"[94424, 1503, 77, 10607, 267, 2928, 50278, 1650]"
B0,KYOw02769,1,3,10,161734,10,0.48927250918174287,False,"[1766, 1973, 81, 34540, 36, 79132, 425, 4610, 39078, 93]"
B0,KYOw02769,1,3,12,161734,12,0.3738855157233482,False,"[3236, 81, 4497, 55330, 71, 85, 33687, 2185, 388, 18, 1686, 60470]"
B0,KYOw02769,1,3,14,161734,14,0.44324013503654147,False,"[1828, 13, 71687, 4644, 74, 68, 374, 24634, 23681, 2147, 2940, 1568, 28012, 64]"
B0,KYOw02774,1,3,2,38927,2,0.9582551956225756,False,"[1625, 37302]"
B0,KYOw02774,1,3,4,38927,4,0.4772779818634881,False,"[2049, 18579, 577, 17722]"
B0,KYOw02774,1,3,6,38927,6,0.4124900454697254,False,"[13030, 272, 313, 1460, 7795, 16057]"
B0,KYOw02774,1,3,8,38927,7,0.3855421686746988,False,"[15008, 4900, 0, 5134, 267, 1080, 11834, 704]"
B0,KYOw02774,1,3,10,38927,10,0.28260590335756675,False,"[414, 842, 121, 10010, 3431, 10248, 258, 2600, 11001, 2]"
B0,KYOw02774,1,3,12,38927,11,0.31710637860610885,False,"[2130, 125, 1626, 7878, 0, 1, 10268, 710, 232, 2905, 708, 12344]"
B0,KYOw02774,1,3,14,38927,13,0.22624399517044724,False,"[553, 2205, 7865, 1930, 115, 0, 233, 8807, 8090, 1458, 876, 676, 6118, 1]"
B0,KYOw02775,1,3,2,51705,2,0.8765109757276859,False,"[6385, 45320]"
B0,KYOw02775,1,3,4,51705,4,0.5800019340489314,False,"[12559, 8069, 1088, 29989]"
B0,KYOw02775,1,3,6,51705,6,0.5369113238564935,False,"[4536, 190, 931, 8124, 27761, 10163]"
B0,KYOw02775,1,3,8,51705,8,0.4656416207330045,False,"[10231, 35, 24, 24076, 168, 6638, 7620, 2913]"
B0,KYOw02775,1,3,10,51705,10,0.3563098346388164,False,"[3732, 3761, 14, 18423, 3, 4473, 516, 14321, 6434, 28]"
B0,KYOw02775,1,3,12,51705,11,0.4151242626438449,False,"[5513, 15, 21464, 4922, 13, 394, 5388, 4424, 457, 0, 3202, 5913]"
B0,KYOw02775,1,3,14,51705,13,0.3395416304032492,False,"[2685, 0, 593, 10571, 13, 13, 430, 3322, 4637, 4093, 17556, 3060, 4417, 315]"
B0,KYOw02776,1,3,2,91475,2,0.7538781087728887,False,"[22514, 68961]"
B0,KYOw02776,1,3,4,91475,4,0.5324624214266193,False,"[31742, 5436, 5590, 48707]"
B0,KYOw02776,1,3,6,91475,6,0.4481880295162613,False,"[384, 1497, 4591, 23353, 40998, 20652]"
B0,KYOw02776,1,3,8,91475,8,0.3866411587865537,False,"[23775, 7, 24, 35368, 1456, 18896, 2759, 9190]"
B0,KYOw02776,1,3,10,91475,10,0.3149166438917737,False,"[9796, 11607, 540, 23664, 2, 13886, 2273, 28807, 882, 18]"
B0,KYOw02776,1,3,12,91475,11,0.30046460781634327,False,"[27485, 556, 6631, 8843, 2, 616, 457, 11497, 2025, 0, 10087, 23276]"
B0,KYOw02776,1,3,14,91475,13,0.25141295435911454,False,"[9194, 0, 12834, 2223, 521, 1, 1972, 152, 22998, 22669, 6150, 9366, 2862, 533]"
B0,KYOw16719,1,3,2,81497,2,0.9597285789660969,False,"[3282, 78215]"
B0,KYOw16719,1,3,4,81497,4,0.8919592132225727,False,"[6575, 1626, 604, 72692]"
B0,KYOw16719,1,3,6,81497,6,0.6235076137771942,False,"[260, 56, 579, 4089, 50814, 25699]"
B0,KYOw16719,1,3,8,81497,8,0.519172484876744,False,"[42311, 1, 9, 33744, 41, 2998, 915, 1478]"
B0,KYOw16719,1,3,10,81497,9,0.6331521405695916,False,"[729, 2077, 2, 51600, 0, 9020, 183, 17386, 493, 7]"
B0,KYOw16719,1,3,12,81497,11,0.6537663963090666,False,"[20796, 4, 982, 2875, 5, 23, 300, 1444, 144, 0, 1644, 53280]"
B0,KYOw16719,1,3,14,81497,13,0.6354344331693191,False,"[1012, 0, 12754, 394, 2, 6, 136, 62, 51786, 12353, 570, 1537, 866, 19]"
B0,KYOw02754,2,1,2,47242,2,0.9222090512679395,False,"[43567, 3675]"
B0,KYOw02754,2,1,4,47242,4,0.670081706955675,False,"[12145, 31656, 2921, 520]"
B0,KYOw02754,2,1,6,47242,6,0.48524617924728,False,"[22924, 204, 20245, 944, 2531, 394]"
B0,KYOw02754,2,1,8,47242,8,0.4918716396426908,False,"[3, 1433, 9782, 11649, 77, 23237, 527, 534]"
B0,KYOw02754,2,1,10,47242,9,0.3695440497862072,False,"[1631, 17458, 209, 45, 682, 2578, 391, 7709, 0, 16539]"
B0,KYOw02754,2,1,12,47242,11,0.4498539435248296,False,"[7870, 1086, 12, 468, 21252, 4609, 201, 1203, 6213, 0, 4327, 1]"
