sample_id,mask_pixel_count,source_full_band_invalid_snv_pixel_count,nonfinite_retained_reflectance_pixel_count,nonpositive_snv_input_std_pixel_count,saved_pixel_count,excluded_pixel_count,excluded_pixel_fraction,pixels_with_any_negative_interpolated_reflectance,pixels_with_any_interpolated_reflectance_above_one,final_snv_first_difference_rms_q99,final_snv_max_abs_second_difference_q99,final_snv_max_abs_second_difference_max,snv_mean_absolute_max,snv_sample_std_absolute_error_max,snv_l2_norm_absolute_error_max
KYOw02759,74526,0,0,0,74526,0,0.0,60,0,0.06194147182492203,0.5118409395217896,2.3994070440530777,7.1158865466713905e-09,9.468697825809613e-09,1.5120298080262273e-07
KYOw02760,50131,0,0,0,50131,0,0.0,3,0,0.06261232932970118,0.46283693313598395,2.420944929122925,7.057678885757923e-09,9.66011515224352e-09,1.5425966815030279e-07
KYOw02762,67890,0,0,0,67890,0,0.0,12,0,0.06430912694534772,0.5096269047260285,3.0324541330337524,7.1995600592345e-09,9.819280721856671e-09,1.5680133813589237e-07
KYOw02763,102483,0,0,0,102483,0,0.0,21,0,0.06221132906964043,0.455800744891166,2.500042624771595,6.766640581190586e-09,9.139008216862976e-09,1.4593825881092926e-07
KYOw02764,105831,0,0,0,105831,0,0.0,115,0,0.06670660276419038,0.5325322031974782,2.7718231081962585,7.203198038041592e-09,1.2620681055786065e-08,2.0153611224316137e-07
KYOw02766,46215,0,0,0,46215,0,0.0,39,0,0.07789096671397479,0.5997316122055055,4.7549402713775635,6.686605047434568e-09,8.028199660614632e-09,1.2820006745073442e-07
KYOw02767,152143,0,0,0,152143,0,0.0,0,0,0.06307776203553427,0.4832880878448482,4.464879035949707,7.727066986262798e-09,1.2416125461101046e-08,1.9826962294189343e-07
KYOw02768,65943,0,0,0,65943,0,0.0,51,0,0.09405426767493626,0.8894745051860814,5.39300377573818,7.683411240577698e-09,9.237503206804831e-09,1.4751109844723942e-07
KYOw02769,161735,0,0,0,161735,0,0.0,1,0,0.05703594517987711,0.4459851127862933,6.249399907886982,7.174094207584858e-09,1.1104014374652138e-08,1.7731689005984208e-07
KYOw02770,33403,0,0,0,33403,0,0.0,0,0,0.0750815880803316,0.5599545741081253,3.6798333525657654,6.313712219707668e-09,8.954690544626942e-09,1.429949421094534e-07
KYOw02771,114096,50,0,0,114096,0,0.0,0,0,0.053955220128510124,0.4422290315851574,6.11521577835083,6.606569513678551e-09,8.792396144485792e-09,1.4040330498232834e-07
KYOw02772,73259,0,0,0,73259,0,0.0,48,0,0.07949539916731424,0.6393518543243403,3.9432422518730164,7.610651664435863e-09,1.0519588533597357e-08,1.6798435709119985e-07
