mode,band_index,wavelength_nm,denominator_mean,denominator_std,denominator_min,denominator_q01,denominator_q05,denominator_nonpositive_fraction,denominator_below_floor_fraction,snr_proxy,low_snr,white_max,dark_max,white_at_dtype_max_fraction,dark_at_dtype_max_fraction,retained
200,70,1355.81,57965.921875,918.4315656441063,55094.0,55591.59,56221.65,0.0,0.0,63.114034886581656,False,65535.0,4015.0,0.003125,0.0,True
200,71,1362.12,56281.203125,864.7541554483762,53449.0,53958.04,54788.75,0.0,0.0,65.08347230296691,False,65535.0,3812.0,0.003125,0.0,True
200,72,1368.43,56019.603125,936.6750580458702,53103.0,53619.71,54352.5,0.0,0.0,59.806869675669944,False,65535.0,3751.0,0.00625,0.0,True
200,73,1374.74,56790.609375,877.338817411557,53651.0,54329.77,55152.65,0.0,0.0,64.7305331166712,False,65535.0,3817.0,0.003125,0.0,True
200,74,1381.06,56351.7875,937.8250762235728,52941.0,53811.02,54528.35,0.0,0.0,60.08773803203995,False,61737.0,3827.0,0.0,0.0,True
200,75,1387.37,55169.3625,795.7696312964889,52533.0,52966.44,53594.45,0.0,0.0,69.32830850822562,False,60158.0,4122.0,0.0,0.0,True
200,76,1393.68,56147.265625,984.9224785831418,53349.0,53743.45,54146.75,0.0,0.0,57.006786671952575,False,62267.0,3970.0,0.0,0.0,True
200,77,1399.99,56092.271875,937.1555656394429,53131.0,53799.58,54417.75,0.0,0.0,59.853746732781644,False,61837.0,3794.0,0.0,0.0,True
200,78,1406.3,56648.240625,1015.0412375734345,53131.0,53839.52,54868.6,0.0,0.0,55.808807098737844,False,62051.0,3739.0,0.0,0.0,True
200,79,1412.61,57167.0125,955.8443223630876,53777.0,54380.45,55310.85,0.0,0.0,59.807869506060044,False,62497.0,3812.0,0.0,0.0,True
200,80,1418.92,57978.35,1051.282964405873,54373.0,54956.04,55977.35,0.0,0.0,55.150089902546945,False,63290.0,4128.0,0.0,0.0,True
200,81,1425.23,58441.85,1052.987032208849,54791.0,55491.81,56235.3,0.0,0.0,55.50101588374415,False,64094.0,4413.0,0.0,0.0,True
