stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
snv,22,1033.2363921568628,False,49,0.0,0.0,0.0,6.56143376701286e-05,0.002363265714922151,0.016572059887995733,0.9938885817824458,0.9990093550021051,0.9995842428022035,1.1011926484107972,1.5665969848632812,1.6619157791137695,1.4632153511047363,1.6054841876029968
snv,23,1038.697137254902,False,49,0.0,0.0,0.0,4.777146132900205e-05,0.0022202111033702743,0.01565773934245114,0.9941956882255389,0.9991412916852808,0.9997259782105432,1.1083741056919099,1.5852807760238647,1.6812572598457338,1.4794121503829956,1.6219350814819335
snv,24,1044.1578823529412,False,49,0.0,0.0,0.0,4.777146132900205e-05,0.002068589329250421,0.014438645281725018,0.9945181499907868,0.9992182414458024,0.9997543252922112,1.1181465041637422,1.6025221347808838,1.7019469463825225,1.494653058052063,1.6385883331298827
snv,25,1049.6186274509805,False,49,0.0,0.0,0.0,4.2335210194318616e-05,0.001926993398890517,0.013219551220998896,0.9950248756218906,0.9993425035822155,0.999839366537215,1.1278105807304382,1.618072271347046,1.7188072848320008,1.5090565443038941,1.6534761667251587
snv,26,1055.0793725490196,False,49,0.0,0.0,0.0,4.2335210194318616e-05,0.001784610045657337,0.01196236047087508,0.995500890608685,0.9994395214409846,0.999839366537215,1.1418988418579101,1.6316572427749634,1.7337764120101928,1.523678231239319,1.6687222719192505
snv,27,1060.5401176470589,False,49,0.0,0.0,0.0,2.4377163473258253e-05,0.0015940865222776994,0.010781363099546649,0.9958694183403968,0.9995080851805919,0.9999055097277735,1.167579665184021,1.6456695795059204,1.7517020320892334,1.5388019561767579,1.684380567073822
snv,28,1066.0008627450982,False,49,0.0,0.0,0.0,2.1167605097159308e-05,0.0014265200344813257,0.009867042554002057,0.9963147226828819,0.99955234091886,0.9999244077822188,1.1879980063438416,1.6599481105804443,1.769746823310852,1.5537419319152832,1.699768841266632
snv,29,1071.4616078431372,False,49,0.0,0.0,0.0,1.768596795302607e-05,0.0013701997069785624,0.009295592213036687,0.9966218291259751,0.999628883753239,0.9998960607005509,1.2122589647769928,1.6747323274612427,1.7894133687019347,1.5702271461486816,1.7157986640930176
snv,30,1076.9223529411765,False,49,0.0,0.0,0.0,1.768596795302607e-05,0.0012692338851758328,0.008686045182673626,0.9968828696026043,0.9996965071803925,0.9999149587549961,1.2352210879325867,1.6897127628326416,1.8075353264808653,1.5873072147369385,1.7313978552818299
snv,31,1082.3830980392158,False,49,0.0,0.0,0.0,1.5355322154658806e-05,0.001083115255973621,0.007847918015924417,0.9972821079786254,0.9997275668930418,0.9999149587549961,1.2619493007659912,1.7128217220306396,1.8319427061080933,1.6061590671539308,1.7494174480438232
snv,32,1087.843843137255,False,49,0.0,0.0,0.0,1.2188581736629126e-05,0.0009204967753912119,0.007238370985561355,0.997683294111909,0.9997899844213475,0.9999390123042676,1.2905345261096954,1.7321197986602783,1.8506152284145356,1.6241603374481202,1.7677185654640197
snv,33,1093.3045882352942,False,49,0.0,0.0,0.0,8.764549151591641e-06,0.0007345441424708654,0.0060192769248352315,0.9979149647007182,0.9998331618276579,0.9999771296141003,1.317144125699997,1.7504190802574158,1.8684670519828797,1.6417091846466065,1.7864237189292909
snv,34,1098.7653333333333,False,49,0.0,0.0,0.0,8.764549151591641e-06,0.0006101179103347266,0.005219246447483714,0.9981880719857502,0.999889638627754,0.9999923765380334,1.3402191400527954,1.7645537853240967,1.8824325656890868,1.6576926469802857,1.8025463700294495
snv,35,1104.2260784313726,False,49,0.0,0.0,0.0,0.0,0.000546374908768427,0.004685892795916035,0.9983876911737608,0.999926425751836,0.9999847530760669,1.3609291315078735,1.776203989982605,1.8926281309127808,1.6696719884872437,1.8109894275665284
