condition,k,fold,repeat,scope,cluster_id,pooled_pixels,pooled_fraction,sample_macro_fraction
B0,8,2,3,clean_test,6,143300,0.18332661690110214,0.17167481227764442
B0,8,2,3,clean_test,7,220866,0.28255838498589547,0.2862714313495345
B0,8,2,3,clean_test,8,44635,0.05710246716943959,0.04631271507303386
B0,8,3,1,clean_test,1,348824,0.5224403233874809,0.46950473793901065
B0,8,3,1,clean_test,2,14737,0.02207188451987623,0.028089668997338633
B0,8,3,1,clean_test,3,92354,0.13832033812503558,0.14197476998232625
B0,8,3,1,clean_test,4,3831,0.005737761389403938,0.007253519822458534
B0,8,3,1,clean_test,5,171889,0.2574414167223319,0.2673361860827922
B0,8,3,1,clean_test,6,1837,0.0027513097552427654,0.004574411052034756
B0,8,3,1,clean_test,7,30612,0.04584817323216741,0.07175326138903419
B0,8,3,1,clean_test,8,3598,0.005388792868461333,0.009513444735004857
B0,8,3,2,clean_test,1,3816,0.005715295604793899,0.007228251709085247
B0,8,3,2,clean_test,2,3598,0.005388792868461333,0.009513444735004857
B0,8,3,2,clean_test,3,172007,0.2576181475612642,0.2674831826443439
B0,8,3,2,clean_test,4,92299,0.13823796358146542,0.14190497783203854
B0,8,3,2,clean_test,5,14735,0.022068889081928222,0.028086685053061722
B0,8,3,2,clean_test,6,1837,0.0027513097552427654,0.004574411052034756
B0,8,3,2,clean_test,7,348766,0.5223534556869888,0.4694337372466985
B0,8,3,2,clean_test,8,30624,0.04586614585985544,0.0717753097277325
B0,8,3,3,clean_test,1,321716,0.4818401574402185,0.4366131276323233
B0,8,3,3,clean_test,2,16740,0.025071815624803425,0.032648024883253114
B0,8,3,3,clean_test,3,207050,0.3101027135672371,0.3050647266994674
B0,8,3,3,clean_test,4,2392,0.003582543785814205,0.004580555512253644
B0,8,3,3,clean_test,5,3660,0.005481651444849495,0.009532898310950463
B0,8,3,3,clean_test,6,38452,0.05759028998834775,0.08771355513469761
B0,8,3,3,clean_test,7,2285,0.0034222878555959274,0.0057879242490176275
B0,8,3,3,clean_test,8,75387,0.11290854029313356,0.11805918757803682
B0,8,4,1,clean_test,1,308328,0.4110464534965105,0.4086321717496104
B0,8,4,1,clean_test,2,7570,0.010091920464468308,0.011190723643846854
B0,8,4,1,clean_test,3,49819,0.06641603508842095,0.07072412518945145
B0,8,4,1,clean_test,4,222704,0.2968971010725165,0.28876786346064354
B0,8,4,1,clean_test,5,24305,0.03240213036841509,0.034331326355371096
B0,8,4,1,clean_test,6,121693,0.16223462048646523,0.1621982716789901
B0,8,4,1,clean_test,7,7365,0.009818625392445058,0.011535276266616015
B0,8,4,1,clean_test,8,8321,0.01109311363075836,0.012620241655470538
B0,8,4,2,clean_test,1,309286,0.4123236080282094,0.4099564230203086
B0,8,4,2,clean_test,2,8389,0.011183767605868512,0.012718813815529492
B0,8,4,2,clean_test,3,220540,0.2940121716293052,0.28596263948431755
B0,8,4,2,clean_test,4,7134,0.009510668506409102,0.011171568696449394
B0,8,4,2,clean_test,5,50009,0.06666933296005226,0.07095662995048171
B0,8,4,2,clean_test,6,7591,0.010119916545017031,0.011221854495611203
B0,8,4,2,clean_test,7,24609,0.03280740696302518,0.03477309790442658
B0,8,4,2,clean_test,8,122547,0.1633731277621133,0.16323897263287548
B0,8,4,3,clean_test,1,222652,0.2968277774444911,0.2886887633615097
B0,8,4,3,clean_test,2,7436,0.009913278807633598,0.011642354657713173
B0,8,4,3,clean_test,3,7590,0.010118583398324235,0.011220336860693458
B0,8,4,3,clean_test,4,49895,0.06651735423707347,0.07079708407360598
B0,8,4,3,clean_test,5,307757,0.4102852267349238,0.4078941966837519
B0,8,4,3,clean_test,6,121791,0.16236526886235927,0.16228644781165852
B0,8,4,3,clean_test,7,24594,0.03278740976263323,0.034750485100620024
B0,8,4,3,clean_test,8,8390,0.011185100752561308,0.012720331450447236
B0,8,5,1,clean_test,1,139076,0.17463741728091214,0.14662718790988494
B0,8,5,1,clean_test,2,238040,0.2989062872785263,0.326581313191612
B0,8,5,1,clean_test,3,5840,0.007333274734106006,0.0060309686321620625
B0,8,5,1,clean_test,4,4962,0.0062307721285332195,0.0059387489188414315
B0,8,5,1,clean_test,5,36201,0.045457513467358136,0.03972316779154675
B0,8,5,1,clean_test,6,216051,0.2712947499277974,0.24164675724292023
