condition,fold,repeat,sample_id,k,scope,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts,cluster_fractions
A1,3,2,KYOw02715,2,clean_test,65124,2,0.9737731097598428,False,"[63416, 1708]","[0.9737731097598428, 0.026226890240157237]"
A1,3,2,KYOw02715,4,clean_test,65124,3,0.7697315889687366,False,"[13805, 0, 1191, 50128]","[0.2119802223450648, 0.0, 0.018288188686198636, 0.7697315889687366]"
A1,3,2,KYOw02715,6,clean_test,65124,6,0.7420920090903507,False,"[14607, 198, 69, 48328, 142, 1780]","[0.22429519071310117, 0.0030403537866224434, 0.0010595172286714575, 0.7420920090903507, 0.0021804557459615503, 0.027332473435292673]"
A1,3,2,KYOw02715,8,clean_test,65124,8,0.8018395675941281,False,"[52219, 1493, 133, 122, 117, 51, 1668, 9321]","[0.8018395675941281, 0.022925495976905595, 0.002042257846569621, 0.001873349302868374, 0.0017965726920950802, 0.0007831214298875991, 0.025612677353970888, 0.1431269578035747]"
A1,3,2,KYOw02715,10,clean_test,65124,9,0.709676924021866,False,"[46217, 6, 1337, 1433, 20, 25, 9443, 0, 6608, 35]","[0.709676924021866, 9.213193292795283e-05, 0.020530065720778822, 0.022004176647626068, 0.0003071064430931761, 0.0003838830538664701, 0.1450003071064431, 0.0, 0.10146796879798538, 0.0005374362754130582]"
A1,3,2,KYOw02715,12,clean_test,65124,10,0.740955715250906,False,"[7, 8166, 24, 3607, 48254, 0, 339, 709, 3966, 0, 30, 22]","[0.00010748725508261163, 0.1253915607149438, 0.0003685277317118113, 0.055386647011854306, 0.740955715250906, 0.0, 0.0052054542104293345, 0.010886923407653093, 0.06089920766537682, 0.0, 0.00046065966463976416, 0.0003378170874024937]"
A1,3,2,KYOw02715,14,clean_test,65124,12,0.7197653706774768,False,"[977, 8594, 0, 21, 10, 19, 4, 0, 2521, 46874, 3955, 614, 18, 1517]","[0.015002149745101652, 0.13196363859713778, 0.0, 0.0003224617652478349, 0.00015355322154658805, 0.00029175112093851726, 6.142128861863522e-05, 0.0, 0.038710767151894844, 0.7197653706774768, 0.060730299121675574, 0.009428167802960507, 0.0002763957987838585, 0.02329402370861741]"
A1,3,2,KYOw02716,2,clean_test,62799,2,0.8699820060828994,False,"[54634, 8165]","[0.8699820060828994, 0.1300179939171006]"
A1,3,2,KYOw02716,4,clean_test,62799,4,0.9630567365722384,False,"[60479, 28, 1896, 396]","[0.9630567365722384, 0.0004458669724040192, 0.0301915635599293, 0.006305832895428271]"
A1,3,2,KYOw02716,6,clean_test,62799,6,0.5160273252758802,False,"[115, 500, 4, 3018, 32406, 26756]","[0.0018312393509450787, 0.007961910221500342, 6.369528177200274e-05, 0.048058090096976064, 0.5160273252758802, 0.4260577397729263]"
A1,3,2,KYOw02716,8,clean_test,62799,8,0.8129110336151849,False,"[270, 2932, 194, 51050, 273, 4, 74, 8002]","[0.004299431519610185, 0.04668864153887801, 0.003089221165942133, 0.8129110336151849, 0.004347202980939187, 6.369528177200274e-05, 0.0011783627127820507, 0.12742241118489148]"
A1,3,2,KYOw02716,10,clean_test,62799,10,0.7135623178713036,False,"[886, 156, 2221, 44811, 35, 2, 59, 24, 749, 13856]","[0.014108504912498607, 0.002484115989108107, 0.03536680520390452, 0.7135623178713036, 0.000557333715505024, 3.184764088600137e-05, 0.0009395054061370404, 0.0003821716906320164, 0.011926941511807513, 0.2206404560582175]"
A1,3,2,KYOw02716,12,clean_test,62799,11,0.5720791732352426,False,"[107, 54, 40, 475, 678, 24, 8123, 1391, 15979, 0, 35926, 2]","[0.0017038487874010732, 0.000859886303922037, 0.0006369528177200274, 0.007563814710425326, 0.010796350260354463, 0.0003821716906320164, 0.12934919345849455, 0.022150034236213954, 0.25444672685870795, 0.0, 0.5720791732352426, 3.184764088600137e-05]"
A1,3,2,KYOw02716,14,clean_test,62799,13,0.4955015207248523,False,"[46, 1524, 24, 31117, 85, 252, 3, 2609, 202, 66, 2981, 1252, 0, 22638]","[0.0007324957403780315, 0.024267902355133042, 0.0003821716906320164, 0.4955015207248523, 0.0013535247376550582, 0.004012802751636173, 4.777146132900205e-05, 0.04154524753578879, 0.0032166117294861385, 0.0010509721492380452, 0.04746890874058504, 0.019936623194636856, 0.0, 0.3604834471886495]"
A1,3,2,KYOw02717,2,clean_test,82044,2,0.960070206230803,False,"[78768, 3276]","[0.960070206230803, 0.03992979376919702]"
A1,3,2,KYOw02717,4,clean_test,82044,4,0.7097045487787041,False,"[58227, 21, 2143, 21653]","[0.7097045487787041, 0.00025596021646921165, 0.026120130661596217, 0.26391936034323044]"
