priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,2,KYOw16737,4,1,2,0.1626330018043518,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16737,4,1,3,0.07531776279211044,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16737,4,2,3,0.36487850546836853,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16744,4,1,2,0.31226813793182373,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16744,4,1,3,0.2665073871612549,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16744,4,2,3,0.508477509021759,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16750,2,1,2,0.01490401104092598,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16750,2,1,3,0.002462278585880995,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16750,2,2,3,0.00014760246267542243,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02702,4,1,2,0.39086490869522095,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02702,4,1,3,0.39390501379966736,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02702,4,2,3,0.5553113222122192,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02707,1,1,2,0.02028718590736389,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02707,1,1,3,0.2825694978237152,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02707,1,2,3,-0.012369345873594284,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02708,4,1,2,0.3612915575504303,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02708,4,1,3,0.31037217378616333,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02708,4,2,3,0.5949709415435791,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02709,5,1,2,0.43088364601135254,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02709,5,1,3,0.7902809977531433,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02709,5,2,3,0.45127496123313904,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02715,3,1,2,0.23515795171260834,,"[4, 3]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02715,3,1,3,0.11651221662759781,,"[4, 4]",[]
