condition,pc1,pc2,pixels
B0,0.005999274147635125,0.016841604241086494,6113
B0,0.005999274147635125,0.05852750490721048,498
B0,0.005999274147635125,0.10021340557333447,160
B0,0.005999274147635125,0.14189930623945846,56
B0,0.005999274147635125,0.18358520690558255,5
B0,0.029819788861632723,-0.10821609775728558,7
B0,0.029819788861632723,-0.06653019709116148,150
B0,0.029819788861632723,-0.024844296425037493,19831
B0,0.029819788861632723,0.016841604241086494,7664
B0,0.029819788861632723,0.05852750490721048,618
B0,0.029819788861632723,0.10021340557333447,172
B0,0.029819788861632723,0.14189930623945846,34
B0,0.029819788861632723,0.18358520690558255,1
B0,0.029819788861632723,0.22527110757170643,1
B0,0.05364030357563032,-0.10821609775728558,1
B0,0.05364030357563032,-0.06653019709116148,29
B0,0.05364030357563032,-0.024844296425037493,17052
B0,0.05364030357563032,0.016841604241086494,8701
B0,0.05364030357563032,0.05852750490721048,874
B0,0.05364030357563032,0.10021340557333447,216
B0,0.05364030357563032,0.14189930623945846,29
B0,0.07746081828962792,-0.06653019709116148,13
B0,0.07746081828962792,-0.024844296425037493,8552
B0,0.07746081828962792,0.016841604241086494,12273
B0,0.07746081828962792,0.05852750490721048,1393
B0,0.07746081828962792,0.10021340557333447,252
B0,0.07746081828962792,0.14189930623945846,12
B0,0.07746081828962792,0.18358520690558255,1
B0,0.10128133300362552,-0.06653019709116148,10
B0,0.10128133300362552,-0.024844296425037493,1688
B0,0.10128133300362552,0.016841604241086494,10875
B0,0.10128133300362552,0.05852750490721048,1492
B0,0.10128133300362552,0.10021340557333447,234
B0,0.10128133300362552,0.14189930623945846,6
B0,0.10128133300362552,0.18358520690558255,2
B0,0.12510184771762312,-0.06653019709116148,5
B0,0.12510184771762312,-0.024844296425037493,437
B0,0.12510184771762312,0.016841604241086494,5676
B0,0.12510184771762312,0.05852750490721048,1371
B0,0.12510184771762312,0.10021340557333447,209
B0,0.12510184771762312,0.14189930623945846,4
B0,0.12510184771762312,0.22527110757170643,1
B0,0.14892236243162071,-0.06653019709116148,2
B0,0.14892236243162071,-0.024844296425037493,210
B0,0.14892236243162071,0.016841604241086494,2182
B0,0.14892236243162071,0.05852750490721048,1611
B0,0.14892236243162071,0.10021340557333447,152
B0,0.14892236243162071,0.14189930623945846,2
B0,0.1727428771456183,-0.10821609775728558,1
B0,0.1727428771456183,-0.06653019709116148,2
B0,0.1727428771456183,-0.024844296425037493,127
B0,0.1727428771456183,0.016841604241086494,754
B0,0.1727428771456183,0.05852750490721048,1477
B0,0.1727428771456183,0.10021340557333447,93
B0,0.1965633918596159,-0.10821609775728558,1
B0,0.1965633918596159,-0.024844296425037493,89
B0,0.1965633918596159,0.016841604241086494,332
B0,0.1965633918596159,0.05852750490721048,996
B0,0.1965633918596159,0.10021340557333447,47
B0,0.2203839065736135,-0.06653019709116148,1
B0,0.2203839065736135,-0.024844296425037493,57
B0,0.2203839065736135,0.016841604241086494,208
B0,0.2203839065736135,0.05852750490721048,367
B0,0.2203839065736135,0.10021340557333447,44
B0,0.2442044212876111,-0.024844296425037493,44
B0,0.2442044212876111,0.016841604241086494,161
B0,0.2442044212876111,0.05852750490721048,236
B0,0.2442044212876111,0.10021340557333447,24
B0,0.2442044212876111,0.18358520690558255,1
B0,0.2680249360016087,-0.06653019709116148,1
B0,0.2680249360016087,-0.024844296425037493,32
B0,0.2680249360016087,0.016841604241086494,176
B0,0.2680249360016087,0.05852750490721048,148
B0,0.2680249360016087,0.10021340557333447,29
B0,0.2918454507156063,-0.024844296425037493,13
B0,0.2918454507156063,0.016841604241086494,151
B0,0.2918454507156063,0.05852750490721048,87
B0,0.2918454507156063,0.10021340557333447,11
B0,0.2918454507156063,0.18358520690558255,1
B0,0.3156659654296039,-0.024844296425037493,22
B0,0.3156659654296039,0.016841604241086494,179
B0,0.3156659654296039,0.05852750490721048,61
B0,0.3156659654296039,0.10021340557333447,4
B0,0.3394864801436015,-0.024844296425037493,24
B0,0.3394864801436015,0.016841604241086494,172
B0,0.3394864801436015,0.05852750490721048,20
B0,0.3633069948575991,-0.024844296425037493,15
B0,0.3633069948575991,0.016841604241086494,174
B0,0.3633069948575991,0.05852750490721048,6
B0,0.3871275095715967,-0.024844296425037493,2
B0,0.3871275095715967,0.016841604241086494,110
B0,0.4109480242855943,-0.024844296425037493,3
B0,0.4109480242855943,0.016841604241086494,83
B0,0.4109480242855943,0.05852750490721048,1
B0,0.4347685389995919,-0.024844296425037493,2
B0,0.4347685389995919,0.016841604241086494,28
B0,0.4585890537135895,0.016841604241086494,3
B0,0.4585890537135895,0.18358520690558255,1
B0,-1.1016546600532535,-0.08737314742422353,1
B0,-1.1016546600532535,0.07937045524027253,1
B0,-1.077834145339256,-0.1707449487564715,1
B0,-1.077834145339256,-0.08737314742422353,2
B0,-1.0540136306252583,-0.12905904809034752,3
B0,-1.0540136306252583,-0.04568724675809954,1
B0,-1.0540136306252583,0.03768455457414854,1
B0,-1.0540136306252583,0.07937045524027253,1
B0,-1.0301931159112607,-0.1707449487564715,2
B0,-1.0301931159112607,-0.12905904809034752,4
B0,-1.0301931159112607,-0.08737314742422353,2
B0,-1.0301931159112607,-0.04568724675809954,2
B0,-1.0301931159112607,0.12105635590639652,2
B0,-1.0063726011972631,-0.1707449487564715,2
B0,-1.0063726011972631,-0.12905904809034752,1
B0,-1.0063726011972631,-0.08737314742422353,3
B0,-1.0063726011972631,-0.04568724675809954,2
B0,-1.0063726011972631,0.07937045524027253,2
B0,-1.0063726011972631,0.1627422565725205,1
B0,-0.9825520864832655,-0.2541167500887196,1
B0,-0.9825520864832655,-0.1707449487564715,3
B0,-0.9825520864832655,-0.12905904809034752,3
B0,-0.9825520864832655,-0.08737314742422353,5
B0,-0.9825520864832655,-0.004001346091975555,2
B0,-0.9825520864832655,0.03768455457414854,1
B0,-0.9587315717692679,-0.2124308494225956,1
B0,-0.9587315717692679,-0.1707449487564715,2
B0,-0.9587315717692679,-0.12905904809034752,3
B0,-0.9587315717692679,-0.08737314742422353,1
B0,-0.9587315717692679,-0.04568724675809954,2
B0,-0.9587315717692679,-0.004001346091975555,2
B0,-0.9587315717692679,0.03768455457414854,1
B0,-0.9587315717692679,0.07937045524027253,1
B0,-0.9349110570552703,-0.2124308494225956,2
B0,-0.9349110570552703,-0.1707449487564715,4
B0,-0.9349110570552703,-0.12905904809034752,6
B0,-0.9349110570552703,-0.08737314742422353,1
B0,-0.9349110570552703,-0.04568724675809954,1
B0,-0.9349110570552703,-0.004001346091975555,3
B0,-0.9349110570552703,0.07937045524027253,2
B0,-0.9349110570552703,0.1627422565725205,1
B0,-0.9110905423412727,-0.1707449487564715,3
B0,-0.9110905423412727,-0.12905904809034752,4
B0,-0.9110905423412727,-0.08737314742422353,5
B0,-0.9110905423412727,-0.04568724675809954,3
B0,-0.9110905423412727,-0.004001346091975555,3
B0,-0.9110905423412727,0.07937045524027253,1
B0,-0.8872700276272751,-0.2124308494225956,3
B0,-0.8872700276272751,-0.1707449487564715,1
B0,-0.8872700276272751,-0.12905904809034752,4
B0,-0.8872700276272751,-0.08737314742422353,6
B0,-0.8872700276272751,-0.04568724675809954,5
B0,-0.8872700276272751,0.03768455457414854,2
