contrast,cluster,kind,wavelength_nm,difference,aggregation
B0-M00,1,reflectance,2054.3957254901966,-0.0026610639223792476,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2059.8564705882354,-0.002733836563231673,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2065.3172156862747,-0.0027027530995420435,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2070.777960784314,-0.002569117476223348,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2076.2387058823533,-0.0025442140107978517,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2081.6994509803926,-0.0025002416706172426,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2087.1601960784315,-0.0022598525510013623,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2092.6209411764708,-0.002488621731030982,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2098.08168627451,-0.002420925572024668,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2103.5424313725493,-0.0023961395807929886,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2109.0031764705886,-0.002597549839693125,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2114.463921568628,-0.0027393520683618444,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2119.924666666667,-0.0028035223358814365,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2125.385411764706,-0.002884423070713016,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2130.8461568627454,-0.0029945387588767303,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2136.3069019607847,-0.003213852558780206,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2141.767647058824,-0.003229632075964939,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2147.2283921568633,-0.0031783816593320413,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2152.689137254902,-0.0033277875704184057,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2158.1498823529414,-0.003479229701105202,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2163.6106274509807,-0.003482330510916898,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2169.07137254902,-0.003444085875988212,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2174.5321176470593,-0.003612188161412233,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2179.992862745098,-0.003740721158955629,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2185.4536078431374,-0.003853264572927728,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2190.9143529411767,-0.004067439044825427,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2196.375098039216,-0.004241391172978226,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2201.8358431372553,-0.004185076271042809,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2207.2965882352946,-0.0041812822271504735,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2212.7573333333335,-0.00450780238970222,difference of equal-sample representative means; not paired
