band,wavelength_nm
band_243,2240.06105882353
band_244,2245.521803921569
band_245,2250.982549019608
band_246,2256.4432941176474
band_247,2261.9040392156867
band_248,2267.364784313726
band_249,2272.825529411765
band_250,2278.286274509804
band_251,2283.7470196078434
band_252,2289.2077647058827
band_253,2294.668509803922
band_254,2300.1292549019613
band_255,2305.59
