condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
M11,M11-M00,1,reflectance,1835.9659215686277,-0.0022755401640041084,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1841.4266666666667,-0.0022969416048886915,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1846.887411764706,-0.002324420163836105,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1852.3481568627453,-0.0023732141623172276,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1857.8089019607846,-0.002341533636857851,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1863.269647058824,-0.002312587939929389,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1868.730392156863,-0.00227747249656296,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1874.191137254902,-0.0022186070495639476,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1879.6518823529414,-0.0021829197595995,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1885.1126274509807,-0.002236445840747503,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1890.57337254902,-0.0021598237732498027,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1896.034117647059,-0.0020616652360789245,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1901.4948627450983,-0.0019547071062462895,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1906.9556078431374,-0.0017876454937388875,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1912.4163529411767,-0.001623159163445853,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1917.877098039216,-0.001545947713028628,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1923.3378431372553,-0.0015156120225810477,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1928.7985882352943,-0.0014607195322177968,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1934.2593333333336,-0.0014935407007958812,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1939.7200784313727,-0.0014997058574944544,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1945.180823529412,-0.0015056716017418648,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1950.6415686274513,-0.0015105681398213944,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1956.1023137254906,-0.0015145536125443781,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1961.5630588235294,-0.001533698449269899,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1967.0238039215687,-0.0015839954639754739,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1972.484549019608,-0.0016377945459327137,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1977.9452941176473,-0.0015426521843919239,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1983.4060392156866,-0.0015644599524193836,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1988.866784313726,-0.001627567483757475,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1994.3275294117648,-0.0016295707953795646,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1999.788274509804,-0.0016137962627313929,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2005.2490196078434,-0.001707383156604736,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2010.7097647058827,-0.0016877950415727372,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2016.170509803922,-0.0016676136407350328,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2021.6312549019613,-0.0016417876999462733,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2027.092,-0.00159483388323034,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2032.5527450980394,-0.0015566111594325083,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2038.0134901960787,-0.0015517366839261082,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2043.474235294118,-0.0015405537882892117,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2048.9349803921573,-0.0014332156802937535,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2054.3957254901966,-0.0014178477779446808,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2059.8564705882354,-0.0013675312431564168,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2065.3172156862747,-0.001382057673200321,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2070.777960784314,-0.0013566845222447443,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2076.2387058823533,-0.0013323025467249505,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2081.6994509803926,-0.0013225352745983576,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2087.1601960784315,-0.0012882901567185523,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2092.6209411764708,-0.0012845856080709872,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2098.08168627451,-0.0012225607112134607,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2103.5424313725493,-0.0013138173530785613,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2109.0031764705886,-0.0012879657060844152,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2114.463921568628,-0.0012725627795732164,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2119.924666666667,-0.0012904544337350443,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2125.385411764706,-0.001288372181983799,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2130.8461568627454,-0.001250796191969883,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2136.3069019607847,-0.0012238705855449061,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2141.767647058824,-0.001283239154138749,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2147.2283921568633,-0.0013393452250102245,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2152.689137254902,-0.0013224712690825258,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2158.1498823529414,-0.001332494305952614,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2163.6106274509807,-0.0013407045588761934,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2169.07137254902,-0.0013139443616165258,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2174.5321176470593,-0.0013730125484088251,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2179.992862745098,-0.0013602161508017296,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2185.4536078431374,-0.0013793227188895196,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2190.9143529411767,-0.0014262381249672829,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,2196.375098039216,-0.0014414254460101694,difference of equal-sample representative means; not paired
