stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
reflectance,73,1311.734392156863,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378734076023102,0.684109091758728,0.7543016892671585,0.6407788932323456,0.7244924187660218
reflectance,74,1317.195137254902,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371042388677597,0.6805375814437866,0.7514639616012573,0.6382223188877105,0.7218631029129029
reflectance,75,1322.6558823529413,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345549559593201,0.6754458546638489,0.7472002828121185,0.6338403999805451,0.7175836563110352
reflectance,76,1328.1166274509806,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263962817192077,0.6679220795631409,0.741327617764473,0.6272287964820862,0.7110398411750793
reflectance,77,1333.5773725490199,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168797898292542,0.6579443216323853,0.7340530115365982,0.6188798129558564,0.7021754622459412
reflectance,78,1339.038117647059,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5029654407501221,0.6455731391906738,0.7248823326826095,0.6058290421962738,0.6907854318618775
reflectance,79,1344.4988627450982,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48728570342063904,0.6312742829322815,0.7139874410629272,0.5901004672050476,0.6760246217250824
reflectance,80,1349.9596078431373,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4709176445007324,0.6179218888282776,0.702732041478157,0.5729650676250457,0.6607089936733246
reflectance,81,1355.4203529411766,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45388445496559143,0.6032044887542725,0.6912212705612183,0.5578660726547241,0.6475440561771393
reflectance,82,1360.8810980392159,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4384375357627869,0.5901962518692017,0.6815519881248474,0.5447096467018128,0.6361574351787568
reflectance,83,1366.341843137255,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4241533303260803,0.5779723525047302,0.6710549926757813,0.532720410823822,0.6250211417675019
reflectance,84,1371.8025882352943,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41160711884498596,0.5673294067382812,0.6615546131134035,0.5212257266044616,0.6152746319770813
reflectance,85,1377.2633333333333,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40177884459495544,0.5584053993225098,0.6532734680175782,0.5117123901844025,0.6072397410869599
reflectance,86,1382.7240784313726,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39244440019130705,0.5503360033035278,0.645582172870636,0.503072077035904,0.5997669637203217
reflectance,87,1388.184823529412,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811786949634552,0.5408751964569092,0.635947608947754,0.49236600399017333,0.5902839362621307
reflectance,88,1393.6455686274512,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646731108427048,0.5256684124469757,0.6224991536140442,0.4760178565979004,0.5769018769264221
reflectance,89,1399.1063137254903,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3445935308933258,0.5068726539611816,0.6061087024211885,0.45487729609012606,0.5581726551055908
reflectance,90,1404.5670588235296,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32378375887870786,0.4857015013694763,0.5831592631340032,0.4304856240749359,0.5329835176467895
reflectance,91,1410.0278039215686,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016611635684967,0.46094149351119995,0.5614499241113664,0.40457398891448976,0.5078665256500244
reflectance,92,1415.488549019608,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768303006887436,0.4360319972038269,0.5415876096487046,0.379388627409935,0.4836023181676865
reflectance,93,1420.9492941176472,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567479956150055,0.41283102333545685,0.5239990788698197,0.3568331956863403,0.4621747016906739
reflectance,94,1426.4100392156865,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23881754219532014,0.393606960773468,0.50550676882267,0.33862343430519104,0.44409040808677674
reflectance,95,1431.8707843137256,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22527564704418182,0.3783765435218811,0.49235317409038526,0.3248399496078491,0.43012542724609376
reflectance,96,1437.3315294117647,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21624134838581086,0.368052214384079,0.4845411211252211,0.3154206365346909,0.4207496523857117
reflectance,97,1442.792274509804,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20955914974212647,0.36156657338142395,0.4781821751594544,0.30874730050563814,0.41457262933254246
reflectance,98,1448.2530196078433,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20511438190937042,0.3567814826965332,0.47337516605854035,0.303963714838028,0.4104552984237671
reflectance,99,1453.7137647058826,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20154656767845153,0.35290849208831787,0.46994652569293976,0.3003286302089691,0.4075046807527542
reflectance,100,1459.1745098039219,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1988198935985565,0.3499303162097931,0.46768601328134535,0.2974836081266403,0.40532919466495515
reflectance,101,1464.635254901961,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19695028722286223,0.34778061509132385,0.4667613169550896,0.2951385974884033,0.40370388627052306
reflectance,102,1470.096,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19542146384716033,0.3461223840713501,0.4660216206312178,0.2932079553604126,0.40258474349975587
reflectance,103,1475.5567450980393,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19438021063804625,0.3454214930534363,0.46471479386091236,0.2921403795480728,0.4019837737083435
reflectance,104,1481.0174901960786,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1942750757932663,0.3456842005252838,0.46431014060974113,0.29207190573215486,0.40201094150543215
reflectance,105,1486.478235294118,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1946728140115738,0.34623992443084717,0.46459689289331435,0.29291215538978577,0.4029784142971039
reflectance,106,1491.938980392157,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19574181735515594,0.3472803831100464,0.46551691412925716,0.29423769414424894,0.4044766962528229
reflectance,107,1497.3997254901963,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19729503750801086,0.34900276362895966,0.4672156894207,0.2960614740848541,0.4065390408039093
reflectance,108,1502.8604705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19888307452201842,0.35103465616703033,0.46935956150293345,0.2982275754213333,0.40901878476142883
reflectance,109,1508.3212156862746,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20039794206619263,0.3531692773103714,0.47157468140125264,0.3005906939506531,0.41169476211071016
reflectance,110,1513.781960784314,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024116963148117,0.35568787157535553,0.4737201815843577,0.3031394213438034,0.41464710235595703
reflectance,111,1519.2427058823532,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20484106123447418,0.3581332564353943,0.475455949306488,0.30577393174171447,0.4175905525684357
reflectance,112,1524.7034509803923,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206576789021492,0.36089250445365906,0.4770926457643508,0.3081602156162262,0.4203406184911728
reflectance,113,1530.1641960784316,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20825532376766204,0.36319485306739807,0.47863594174385066,0.31009002327919005,0.42259598672389986
reflectance,114,1535.6249411764707,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20938016057014466,0.3650694787502289,0.4799918204545975,0.31172669529914854,0.4244326055049896
reflectance,115,1541.08568627451,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21040331661701203,0.36676502227783203,0.48106914818286894,0.3131922870874405,0.42613264024257663
reflectance,116,1546.5464313725493,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2114286583662033,0.36844533681869507,0.48197195589542374,0.3146845191717148,0.42777216136455537
reflectance,117,1552.0071764705885,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21289099812507628,0.37041783332824707,0.4831734764575958,0.31631245613098147,0.4294965237379074
reflectance,118,1557.4679215686276,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2137572193145752,0.37251749634742737,0.48444152891635883,0.31789937913417815,0.4311321467161179
